prix,surface,prix_m2,nb_pieces,type,quartier,ville
225000.0,3.0,,3.0,Appartement,Le Jonquet,Toulon
1490000.0,153.0,9739.0,5.0,Appartement,Appartement D'Exception - Cap Brun,Toulon
1100000.0,115.0,9565.0,3.0,Appartement,Cap Brun,Toulon
229000.0,4.0,,3.0,Appartement,A Toulon,Toulon
254519.0,60.0,,48.0,Appartement,À Toulon,Toulon
2484000.0,30.0,15055.0,30.0,Maison,Située Au Coeur Du Très Recherché Quartier Du Cap Brun À Toulon,Toulon
575000.0,158.0,,6.0,Appartement,Idéalement Niché Au Coeur De Toulon,Toulon
160000.0,33.0,,2.0,Appartement,Mourillon-Sud,Toulon
880000.0,157.0,5605.0,6.0,Maison,Toulon Ouest Les Bonnes Herbes Dans Un Quartier Recherché De Toulon Ouest,Toulon
478800.0,833.0,,5.0,Maison,Vous Revez De Vivre Dans La Colline Dans Une Ambiance Marcel Pagnol,Toulon
473000.0,333.0,5565.0,4.0,Maison,,Toulon
1598000.0,240.0,6658.0,7.0,Maison,Claret,Toulon
334963.0,81.0,,48.0,Appartement,À Toulon,Toulon
95000.0,27.0,,27.0,Appartement,,Toulon
259000.0,98.0,,4.0,Appartement,Champ De Mars,Toulon
725000.0,5.0,5370.0,5.0,Maison,Toulon-Valbertrand : Villa De Type 5 De 135 M² Habitables,Toulon
230000.0,54.0,,2.0,Appartement,Mourillon-Centre,Toulon
370000.0,86.0,,3.0,Appartement,A Vendre À Toulon,Toulon
226000.0,64.0,,4.0,Appartement,Notre Dame Des Routes,Toulon
425000.0,330.0,5120.0,4.0,Maison,Valbertrand,Toulon
314000.0,89.0,,4.0,Maison,Pont De Suve-Collet De Gipon,Toulon
185000.0,67.0,,4.0,Appartement,,Toulon
206700.0,3.0,,3.0,Appartement,À Vendre À Toulon,Toulon
429000.0,2.0,5169.0,4.0,Maison,Toulon Ouest,Toulon
356000.0,84.0,,4.0,Appartement,Pont De Suve-Collet De Gipon,Toulon
369000.0,56.0,6483.0,3.0,Appartement,Dans Le Secteur Le Plus Convoité De Toulon,Toulon
254000.0,4.0,,4.0,Appartement,La Serinette,Toulon
499000.0,125.0,,4.0,Maison,Dardenne Hubac-Les Favières,Toulon
589000.0,553.0,,5.0,Maison,Toulon Les 4 Chemins Des Routes: En Plein Coeur Du Quartier Résidentiel Des 4 Chemins Des Routes,Toulon
420000.0,80.0,5250.0,4.0,Appartement,A Toulon - Idéalement Situé Au Coeur Du Mourillon,Toulon
970000.0,190.0,6831.0,5.0,Maison,Dans L'Un Des Secteurs Les Plus Prisés De Toulon,Toulon
170000.0,3.0,,3.0,Appartement,Champ De Mars,Toulon
945000.0,117.0,8070.0,4.0,Appartement,Cap Brun,Toulon
443000.0,62.0,7115.0,3.0,,Profitez Des Frais De Notaire Offerts Et Découvrez Une Adresse D'Exception À Proximité Des Plages Et Au Cœur Du Quartier Cap Brun À Toulon A L'Abri Des Regards,Toulon
289000.0,41.0,7049.0,2.0,Appartement,Cap Brun,Toulon
990000.0,117.0,8458.0,4.0,,Profitez Des Frais De Notaire Offerts Et Découvrez Une Adresse D'Exception À Proximité Des Plages Et Au Cœur Du Quartier Cap Brun À Toulon A L'Abri Des Regards,Toulon
393000.0,65.0,6046.0,3.0,Appartement,Cap Brun,Toulon
279000.0,70.0,,4.0,Appartement,Un Écrin Lumineux Au Coeur De Toulon: 4 Pieces Balcon Sauna. À Deux Pas Du Jardin Alexandre,Toulon
642000.0,92.0,6978.0,4.0,Maison,Profitez Des Frais De Notaire Offerts Et Découvrez Une Adresse D'Exception À Proximité Des Plages Et Au Cœur Du Quartier Cap Brun À Toulon A L'Abri Des Regards,Toulon
1260000.0,151.0,8344.0,4.0,,Cap Brun,Toulon
348500.0,86.0,,5.0,Appartement,Toulon Haute-Ville – L'Alliance Du Cachet Et Du Confort Contemporain Au Cœur De La Haute-Ville,Toulon
749000.0,248.0,,8.0,Maison,Ref 2966 - Immobilier Toulon Ouest - Maison / Villa T8 De 248 M² - Terrain De 1000 M² - Piscine - Garage Double L'Agence Immobilière G.I.O.,Toulon
125000.0,22.0,5682.0,2.0,Appartement,Toulon Est,Toulon
276000.0,58.0,,3.0,Appartement,Offre Exclusive En Tva 5,Toulon
115000.0,22.0,5180.0,1.0,Appartement,Toulon Ouest - Dans Le Quartier Saint-Roch,Toulon
205000.0,42.0,,2.0,Appartement,Offre Exclusive En Tva 5,Toulon
171200.0,53.0,,3.0,Appartement,Toulon - Quartier Aguillon,Toulon
655000.0,498.0,5240.0,6.0,Maison,A Toulon,Toulon
488000.0,76.0,6387.0,4.0,Maison,Les Ameniers,Toulon
369000.0,3.0,,3.0,Appartement,Toulon - Serinette Appartement De Type 3 De 78M² Dans Belle Maison De Maître Au Calme Secteur Aguillon / Serinette. Entièrement Rénové En 2024,Toulon
810000.0,370.0,5400.0,7.0,Maison,Exclusivité. Située Sur Les Pentes Du Bas Faron À Toulon,Toulon
318000.0,10.0,,5.0,Appartement,Mourillon-Centre,Toulon
900000.0,223.0,,9.0,Maison,Nichée Au Calme D'Une Impasse,Toulon
211000.0,2.0,,3.0,Appartement,A Toulon,Toulon
68000.0,71.0,,3.0,Appartement,Exclusivite - Viager Occupe - A Toulon,Toulon
219000.0,1.0,,3.0,Appartement,A Toulon,Toulon
880000.0,120.0,7333.0,5.0,Maison,À Deux Pas Des Plages Du Mourillon,Toulon
125000.0,3.0,,3.0,Appartement,A Vendre À Toulon,Toulon
242000.0,51.0,,2.0,Appartement,Toulon/Cap Brun Résidence Calme & Sécurisée Terrasse Sud Parking + Cave Proche Plages Mourillon Dans L'Une Des Résidences Les Plus Prisées Et Discrètes Du Cap Brun,Toulon
646000.0,90.0,7178.0,4.0,Maison,Cap Brun,Toulon
213000.0,44.0,,2.0,Appartement,Pont De Suve-Collet De Gipon,Toulon
128000.0,2.0,,2.0,Appartement,Idéalement Situé Dans Le Très Recherché Quartier De La Serinette À Toulon,Toulon
1090000.0,212.0,5142.0,212.0,Appartement,Toulon Faron. Dans Un Ensemble Immobilier Classé 'Monument Contemporain Remarquable' Cet Appartement De 212M2 Avec 135M2 De Terrasses Au Total,Toulon
178031.0,42.0,,48.0,Appartement,À Toulon,Toulon
380000.0,290.0,,4.0,Maison,Toulon Ouest/ Les 4 Chemins Des Routes Idéalement Située Au Cœur Très Recherché Des 4 Chemins Des Routes,Toulon
684000.0,4.0,5029.0,5.0,Maison,,Toulon
164000.0,71.0,,4.0,Appartement,Appartement T4 - Valbertrand Situé Dans Une Résidence Fermée Et Sécurisée,Toulon
315000.0,5.0,,5.0,Appartement,Exclusivite - A Toulon,Toulon
475000.0,5.0,,5.0,Maison,Au Cœur Du Très Recherché Secteur Du Pont De Suve À Toulon,Toulon
