id_mutation,date_mutation,nature_mutation,valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,prix_au_m2
2024-1009972,01/02/2024,Vente,92000.0,83200,Toulon,Appartement,55.0,3,,5.913471,43.128836,1672.73
2024-1009779,01/02/2024,Vente,93550.0,83000,Toulon,Appartement,24.0,1,,5.932156,43.122474,3897.92
2024-1009955,01/02/2024,Vente,95000.0,83200,Toulon,Appartement,18.0,1,,5.913161,43.132929,5277.78
2024-1009955,01/02/2024,Vente,95000.0,83200,Toulon,Appartement,25.0,1,,5.913161,43.132929,3800.0
2024-1009955,01/02/2024,Vente,95000.0,83200,Toulon,Appartement,28.0,2,,5.913161,43.132929,3392.86
2024-1010142,01/02/2024,Vente,142500.0,83000,Toulon,Appartement,72.0,4,,5.928047,43.130863,1979.17
2024-1009893,01/02/2024,Vente,158300.0,83000,Toulon,Appartement,61.0,3,,5.944795,43.122284,2595.08
2024-1010049,01/02/2024,Vente,230000.0,83000,Toulon,Appartement,61.0,3,,5.924854,43.133582,3770.49
2024-1010063,01/02/2024,Vente,257500.0,83200,Toulon,Appartement,62.0,3,,5.890119,43.144809,4153.23
2024-1009889,01/02/2024,Vente,265000.0,83000,Toulon,Appartement,45.0,2,225.0,5.9364,43.13213,5888.89
2024-1009889,01/02/2024,Vente,265000.0,83000,Toulon,Appartement,52.0,3,225.0,5.9364,43.13213,5096.15
2024-1009643,01/02/2024,Vente,347000.0,83000,Toulon,Appartement,69.0,4,,5.933054,43.112836,5028.99
2024-1010708,01/03/2024,Vente,15000.0,83000,Toulon,Appartement,36.0,2,,5.934762,43.122233,416.67
2024-1010794,01/03/2024,Vente,80000.0,83100,Toulon,Appartement,28.0,1,,5.965837,43.124151,2857.14
2024-1010696,01/03/2024,Vente,146870.0,83000,Toulon,Appartement,60.0,3,,5.945822,43.114719,2447.83
2024-1010806,01/03/2024,Vente,150000.0,83000,Toulon,Appartement,51.0,3,,5.961695,43.112709,2941.18
2024-1010940,01/03/2024,Vente,440000.0,83000,Toulon,Maison,92.0,5,350.0,5.939843,43.13197,4782.61
2025-417089,01/04/2025,Vente,69850.0,83000,Toulon,Appartement,22.0,1,,5.933182,43.123627,3175.0
2025-417002,01/04/2025,Vente,109000.0,83000,Toulon,Appartement,44.0,2,,5.935893,43.124697,2477.27
2025-417772,01/04/2025,Vente,109600.0,83200,Toulon,Appartement,68.0,4,,5.905214,43.127935,1611.76
2025-417031,01/04/2025,Vente,125000.0,83000,Toulon,Appartement,53.0,3,,5.937268,43.113633,2358.49
2025-417476,01/04/2025,Vente,148000.0,83100,Toulon,Appartement,58.0,3,,5.95517,43.123873,2551.72
2025-416730,01/04/2025,Vente,191000.0,83200,Toulon,Appartement,86.0,4,,5.892038,43.14132,2220.93
2025-417275,01/04/2025,Vente,202710.0,83200,Toulon,Maison,45.0,2,,5.899729,43.146068,4504.67
2025-418754,01/04/2025,Vente,227050.0,83000,Toulon,Appartement,81.0,2,,5.927793,43.126754,2803.09
2025-417173,01/04/2025,Vente,245000.0,83100,Toulon,Appartement,60.0,3,,5.963667,43.133989,4083.33
2025-417325,01/04/2025,Vente,331980.0,83100,Toulon,Maison,108.0,4,,5.975211,43.121514,3073.89
2024-1015563,01/07/2024,Vente,50000.0,83000,Toulon,Appartement,33.0,1,,5.948567,43.116176,1515.15
2024-1015043,01/07/2024,Vente,65000.0,83000,Toulon,Appartement,18.0,1,,5.933763,43.121831,3611.11
2024-1015680,01/07/2024,Vente,81000.0,83000,Toulon,Appartement,25.0,1,,5.928694,43.129541,3240.0
2024-1014944,01/07/2024,Vente,82850.0,83000,Toulon,Appartement,74.0,2,,5.936303,43.12156,1119.59
2024-1015449,01/07/2024,Vente,116000.0,83200,Toulon,Appartement,68.0,4,,5.910306,43.129093,1705.88
2024-1015434,01/07/2024,Vente,145000.0,83200,Toulon,Appartement,43.0,2,,5.888051,43.13585,3372.09
2024-1015916,01/07/2024,Vente,150000.0,83100,Toulon,Appartement,48.0,2,,5.951036,43.125289,3125.0
2024-1014872,01/07/2024,Vente,165000.0,83000,Toulon,Appartement,63.0,3,,5.979592,43.116451,2619.05
2024-1016086,01/07/2024,Vente,175000.0,83100,Toulon,Appartement,42.0,2,,5.95218,43.1253,4166.67
2024-1015613,01/07/2024,Vente,191000.0,83000,Toulon,Appartement,39.0,2,,5.963062,43.120252,4897.44
