prix,surface,prix_m2,nb_pieces,type,quartier,energie,ville
210000.0,60.0,3500.0,3.0,Appartement,Centre-Ville,E,Toulon
658000.0,204.1,3224.0,8.0,Maison,Centre-Ville,E,Toulon
255120.0,60.1,4242.0,3.0,Appartement,Centre-Ville,B,Toulon
220000.0,42.0,5238.0,2.0,Appartement,Cap Brun,A,Toulon
210000.0,65.0,3231.0,3.0,Appartement,Pont-Du-Las,B,Toulon
615000.0,67.0,9179.0,3.0,Appartement,Cap Brun,A,Toulon
230000.0,85.0,2706.0,4.0,Appartement,Les Routes,C,Toulon
560000.0,102.0,5490.0,4.0,Appartement,Centre-Ville,C,Toulon
180000.0,147.6,1220.0,6.0,Appartement,Centre-Ville,C,Toulon
490000.0,135.0,3630.0,6.0,Maison,Centre-Ville,E,Toulon
2495000.0,373.0,6689.0,10.0,Maison,Centre-Ville,B,Toulon
258000.0,68.0,3794.0,3.0,Appartement,Les Ameniers,D,Toulon
159000.0,65.0,2446.0,3.0,Appartement,La Rode,D,Toulon
103200.0,52.0,1985.0,3.0,Appartement,Saint Jean Du Var,D,Toulon
210000.0,73.0,2877.0,3.0,Appartement,Super-Toulon,C,Toulon
655000.0,125.0,5240.0,6.0,Maison,Centre-Ville,C,Toulon
243000.0,73.0,3329.0,3.0,Appartement,Super-Toulon,C,Toulon
169000.0,52.0,3250.0,2.0,Appartement,Saint Roch,D,Toulon
315000.0,105.0,3000.0,4.0,Appartement,La Serinette,C,Toulon
1680000.0,280.0,6000.0,7.0,Maison,Cap Brun,B,Toulon
223000.0,78.0,2859.0,4.0,Appartement,Saint Roch,C,Toulon
128900.0,50.0,2578.0,3.0,Appartement,Centre-Ville,D,Toulon
102800.0,40.3,2551.0,2.0,Appartement,Centre-Ville,F,Toulon
289000.0,41.0,7049.0,2.0,Appartement,Cap Brun,A,Toulon
393000.0,65.0,6046.0,3.0,Appartement,Cap Brun,A,Toulon
1260000.0,151.0,8344.0,4.0,Appartement,Cap Brun,A,Toulon
279000.0,70.0,3986.0,4.0,Appartement,Place D'Armes,B,Toulon
348500.0,86.0,4052.0,5.0,Appartement,Place D'Armes,B,Toulon
115000.0,2.0,5180.0,1.0,Appartement,Saint Roch,C,Toulon
171200.0,53.7,3191.0,3.0,Appartement,Aguillon,D,Toulon
369000.0,78.0,4731.0,3.0,Appartement,La Serinette,C,Toulon
810000.0,150.0,5400.0,7.0,Maison,Trois Quartiers-Siblas,D,Toulon
318000.0,100.5,3164.0,5.0,Appartement,Mourillon-Centre,C,Toulon
211000.0,62.0,3403.0,3.0,Appartement,Centre-Ville,A,Toulon
880000.0,120.0,7333.0,5.0,Appartement,Mourillon-Centre,B,Toulon
242000.0,51.5,4703.0,2.0,Appartement,Cap Brun,D,Toulon
117000.0,56.0,2089.0,3.0,Appartement,Centre-Ville,C,Toulon
1090000.0,212.0,5142.0,5.0,Appartement,Centre-Ville,B,Toulon
1490000.0,153.0,9739.0,5.0,Appartement,Centre-Ville,D,Toulon
1100000.0,115.0,9565.0,3.0,Appartement,Cap Brun,D,Toulon
225000.0,65.0,3462.0,3.0,Appartement,Le Jonquet,C,Toulon
229000.0,82.0,2793.0,3.0,Appartement,Centre-Ville,D,Toulon
160000.0,33.0,4848.0,2.0,Appartement,Mourillon-Sud,C,Toulon
2484000.0,165.0,15055.0,6.0,Maison,Cap Brun,C,Toulon
880000.0,157.0,5605.0,6.0,Maison,Centre-Ville,D,Toulon
473000.0,85.0,5565.0,4.0,Maison,Centre-Ville,C,Toulon
1598000.0,240.0,6658.0,7.0,Maison,Claret,G,Toulon
95000.0,1.0,3519.0,1.0,Appartement,Centre-Ville,D,Toulon
725000.0,135.0,5370.0,5.0,Maison,Centre-Ville,C,Toulon
230000.0,51.0,4508.0,2.0,Appartement,Mourillon-Centre,C,Toulon
770000.0,150.0,5133.0,6.0,Maison,Le Faron-Fort-Rouge,E,Toulon
259000.0,98.0,2643.0,4.0,Appartement,Champ De Mars,D,Toulon
370000.0,86.0,4302.0,3.0,Appartement,Centre-Ville,C,Toulon
226000.0,64.0,3531.0,4.0,Appartement,Notre Dame Des Routes,E,Toulon
425000.0,83.0,5120.0,4.0,Maison,Valbertrand,A,Toulon
206700.0,65.0,3180.0,3.0,Appartement,Centre-Ville,E,Toulon
185000.0,67.0,2761.0,4.0,Appartement,Centre-Ville,D,Toulon
254000.0,70.0,3629.0,4.0,Appartement,La Serinette,D,Toulon
589000.0,146.5,4020.0,5.0,Maison,Centre-Ville,C,Toulon
420000.0,80.0,5250.0,4.0,Appartement,Centre-Ville,D,Toulon
180000.0,83.0,2169.0,4.0,Appartement,Saint Roch,D,Toulon
970000.0,142.0,6831.0,5.0,Maison,Cap Brun,B,Toulon
170000.0,60.0,2833.0,3.0,Appartement,Champ De Mars,E,Toulon
380000.0,86.0,4419.0,4.0,Maison,Centre-Ville,D,Toulon
684000.0,136.0,5029.0,5.0,Maison,Centre-Ville,D,Toulon
315000.0,107.0,2944.0,5.0,Appartement,Centre-Ville,C,Toulon
265000.0,88.0,3011.0,4.0,Appartement,Centre-Ville,C,Toulon
250000.0,65.0,3846.0,3.0,Appartement,Centre-Ville,D,Toulon
2835000.0,169.0,16775.0,7.0,Maison,Mourillon-Sud,A,Toulon
596000.0,141.2,4222.0,7.0,Maison,Le Faron-Fort-Rouge,E,Toulon
125000.0,22.0,5682.0,2.0,Appartement,La Palasse,D,Toulon
154000.0,67.0,2299.0,3.0,Appartement,Champ De Mars,B,Toulon
599000.0,91.0,6582.0,4.0,Appartement,Mourillon-Sud,E,Toulon
187000.0,74.0,2527.0,4.0,Appartement,Brunet,D,Toulon
155000.0,64.3,2411.0,3.0,Appartement,Centre-Ville,D,Toulon
1100000.0,215.0,5116.0,11.0,Maison,La Serinette,D,Toulon
128000.0,33.0,3879.0,2.0,Appartement,La Serinette,C,Toulon
149000.0,61.0,2443.0,3.0,Appartement,Place D'Armes,G,Toulon
259000.0,72.0,3597.0,4.0,Appartement,Le Faron-Fort-Rouge,D,Toulon
400000.0,90.0,4444.0,5.0,Maison,Les Moulins,E,Toulon
165000.0,37.0,4459.0,2.0,Appartement,Mourillon-Centre,B,Toulon
99000.0,41.0,2415.0,2.0,Appartement,Centre-Ville,C,Toulon
219000.0,60.0,3650.0,3.0,Appartement,Cap Brun,C,Toulon
219000.0,60.0,3650.0,3.0,Appartement,Centre-Ville,B,Toulon
328000.0,77.0,4260.0,4.0,Maison,Centre-Ville,C,Toulon
259000.0,70.0,3700.0,3.0,Appartement,Centre-Ville,D,Toulon
139000.0,36.7,3787.0,2.0,Appartement,Centre-Ville,C,Toulon
125000.0,56.0,2232.0,3.0,Appartement,Temple,E,Toulon
499000.0,180.0,2772.0,9.0,Maison,Centre-Ville,D,Toulon
750000.0,135.0,5556.0,5.0,Maison,Centre-Ville,C,Toulon
825000.0,160.6,5139.0,6.0,Maison,Centre-Ville,B,Toulon
130000.0,42.4,3067.0,2.0,Appartement,Centre-Ville,C,Toulon
115000.0,50.8,2264.0,2.0,Appartement,Centre-Ville,D,Toulon
117000.0,61.0,1918.0,3.0,Appartement,Centre-Ville,D,Toulon
200000.0,62.0,3226.0,3.0,Appartement,Cap Brun,E,Toulon
755250.0,138.0,,3.0,Appartement,Cap Brun,E,Toulon
135000.0,42.0,3214.0,2.0,Appartement,Centre-Ville,D,Toulon
665000.0,142.0,4683.0,5.0,Maison,Cap Brun,C,Toulon
345000.0,113.0,3053.0,5.0,Appartement,Champ De Mars,B,Toulon
270000.0,85.0,3176.0,4.0,Appartement,Centre-Ville,C,Toulon
91000.0,2.0,3033.0,1.0,Appartement,Centre-Ville,D,Toulon
160000.0,35.0,4571.0,2.0,Appartement,Centre-Ville,A,Toulon
315000.0,100.0,3150.0,5.0,Appartement,Centre-Ville,C,Toulon
194000.0,72.0,2694.0,4.0,Maison,Centre-Ville,F,Toulon
129000.0,47.0,2745.0,2.0,Appartement,Super-Toulon,E,Toulon
597000.0,200.0,2985.0,6.0,Maison,Le Revest-Les-Eaux,B,Toulon
220000.0,72.0,3056.0,4.0,Maison,Centre-Ville,F,Toulon
1090000.0,215.0,5070.0,6.0,Maison,Centre-Ville,D,Toulon
345000.0,153.0,2255.0,6.0,Appartement,Super-Toulon,C,Toulon
207500.0,71.5,2904.0,4.0,Appartement,Centre-Ville,D,Toulon
270000.0,95.0,2842.0,4.0,Appartement,Centre-Ville,E,Toulon
175000.0,66.0,2652.0,3.0,Appartement,Saint Roch,D,Toulon
92000.0,45.4,2026.0,3.0,Appartement,Centre-Ville,D,Toulon
267000.0,72.0,3708.0,5.0,Appartement,Centre-Ville,C,Toulon
550000.0,151.0,3643.0,5.0,Appartement,Centre-Ville,C,Toulon
184000.0,83.0,2217.0,4.0,Appartement,Centre-Ville,B,Toulon
269000.0,93.6,2874.0,5.0,Appartement,Centre-Ville,D,Toulon
220000.0,131.0,800.0,4.0,Maison,Le Faron-Fort-Rouge,D,Toulon
213805.0,107.0,,4.0,Maison,Centre-Ville,D,Toulon
295000.0,85.8,3440.0,3.0,Appartement,Centre-Ville,D,Toulon
300000.0,86.2,3480.0,3.0,Appartement,Centre-Ville,C,Toulon
250000.0,71.3,3509.0,2.0,Appartement,Centre-Ville,C,Toulon
280000.0,67.1,4174.0,3.0,Appartement,Centre-Ville,D,Toulon
299000.0,72.0,4153.0,3.0,Appartement,Centre-Ville,D,Toulon
233000.0,83.0,2807.0,3.0,Appartement,Centre-Ville,C,Toulon
72500.0,67.5,737.0,3.0,Appartement,Place D'Armes,B,Toulon
460000.0,126.0,3651.0,4.0,Appartement,Centre-Ville,D,Toulon
530000.0,135.0,3926.0,6.0,Maison,Valbertrand,C,Toulon
745000.0,175.0,4257.0,6.0,Maison,Beaulieu-Darboussèdes,B,Toulon
130000.0,2.0,6842.0,1.0,Appartement,Centre-Ville,E,Toulon
256000.0,125.0,2048.0,4.0,Appartement,Super-Toulon,D,Toulon
694000.0,141.0,4922.0,5.0,Maison,Notre Dame Des Routes,D,Toulon
550000.0,152.0,3618.0,5.0,Appartement,Place D'Armes,C,Toulon
144000.0,68.0,2118.0,4.0,Appartement,Champ De Mars,D,Toulon
545000.0,95.0,5737.0,4.0,Maison,Centre-Ville,C,Toulon
145000.0,69.0,2101.0,3.0,Appartement,Centre-Ville,D,Toulon
165000.0,70.0,2357.0,4.0,Appartement,Centre-Ville,C,Toulon
