id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2025-413952;10/01/2025;1;Vente;60000;119;;RUE JEAN JAURES;3895;83000;83137;Toulon;83;;;83137000CP0017;;;13;16.04;;;;;;;;;1;2;Appartement;20;1;;;;;;5.927862;43.124703
2025-413957;07/01/2025;1;Vente;110000;33;;RUE NICOLAS LAUGIER;5390;83000;83137;Toulon;83;;;83137000CN0550;;;2;37.65;;;;;;;;;1;2;Appartement;42;2;;;;;;5.930987;43.121674
2025-413959;02/01/2025;1;Vente;88000;3;;RUE VINCENT COURDOUAN;7255;83000;83137;Toulon;83;;;83137000CL0190;;;2;73.45;;;;;;;;;1;2;Appartement;67;3;;;;;;5.935284;43.121728
2025-413963;03/01/2025;1;Vente;133000;28;;AV DU LAS;4325;83200;83137;Toulon;83;;;83137000CY0366;;;165;69.48;;;;;;;;;1;2;Appartement;75;4;;;;;;5.916868;43.127669
2025-413973;02/01/2025;1;Vente;137000;1;;RUE VICTOR GENSOLLEN;7170;83000;83137;Toulon;83;;;83137000BV0277;;;3;31.95;;;;;;;;;1;2;Appartement;41;1;;;;;;5.939231;43.108638
2025-413989;03/01/2025;1;Vente;65500;149;;RUE DE TURENNE;7020;83100;83137;Toulon;83;;;83137000BE0036;;;29;21.32;;;;;;;;;1;2;Appartement;20;1;;;;;;5.960475;43.125951
2025-413998;08/01/2025;1;Vente;110000;1;;CHE DU PONT DE BOIS;5895;83200;83137;Toulon;83;;;83137000CW0260;;;24;59.08;9;;;;;;;;2;2;Appartement;66;4;;;;;;5.909589;43.128873
2025-414001;10/01/2025;1;Vente;88000;7;;RUE D ANTRECHAUS;370;83000;83137;Toulon;83;;;83137000CK0054;;;25;25;;;;;;;;;1;2;Appartement;23;1;;;;;;5.933835;43.125896
2025-414004;02/01/2025;1;Vente;73000;72;;RUE JEAN JAURES;3895;83000;83137;Toulon;83;;;83137000CP0057;;;3;30;;;;;;;;;1;2;Appartement;30;2;;;;;;5.927228;43.124605
2025-414012;10/01/2025;1;Vente;70000;2;;RUE NOTRE DAME;5410;83000;83137;Toulon;83;;;83137000CN0137;;;13;27;;;;;;;;;1;2;Appartement;26;1;;;;;;5.930739;43.123819
2025-414018;07/01/2025;1;Vente;260000;4;;RUE GUYNEMER;3530;83100;83137;Toulon;83;;;83137000AX0591;;;;;;;;;;;;;0;1;Maison;76;3;S;sols;;;571;5.966743;43.12638
2025-414020;03/01/2025;1;Vente;95000;8;;RUE JEANNE D ARC;3960;83200;83137;Toulon;83;;;83137000CY0120;;;10;;14;52.5;;;;;;;2;2;Appartement;45;2;;;;;;5.919092;43.130835
2025-414021;13/01/2025;1;Vente;350000;224;;AV DE LA REPUBLIQUE;6175;83000;83137;Toulon;83;;;83137000CN0423;;;56;80.23;;;;;;;;;1;2;Appartement;94;3;;;;;;5.93157;43.120417
2025-414023;06/01/2025;1;Vente;265000;61;;RUE LOUIS BRES;4605;83100;83137;Toulon;83;;;83137000BD0150;;;;;;;;;;;;;0;1;Maison;68;3;S;sols;;;425;5.972372;43.120106
2025-414024;10/01/2025;1;Vente;128000;129;;RUE MOREAU;5325;83200;83137;Toulon;83;;;83137000CX0436;;;14;67.04;4;;;;;;;;2;2;Appartement;66;4;;;;;;5.911379;43.129859
2025-414027;13/01/2025;1;Vente;135000;76;;RUE D ISLY;3735;83200;83137;Toulon;83;;;83137000CX0147;;;1;66.36;;;;;;;;;1;2;Appartement;70;3;;;;;;5.915058;43.129195
2025-414028;09/01/2025;1;Vente;164010;70;;CRS LAFAYETTE;4230;83000;83137;Toulon;83;;;83137000CL0071;;;5;68.15;;;;;;;;;1;2;Appartement;65;3;;;;;;5.935036;43.122021
2025-414029;17/01/2025;1;Vente;240500;771;;AV DE LA VICTOIRE DU 8 5 1945;7135;83000;83137;Toulon;83;;;83137000AO0371;;;8;90.55;;;;;;;;;1;2;Appartement;89;4;;;;;;5.935818;43.131208
2025-414031;03/01/2025;1;Vente;253100;563;;CHE DE FORGENTIER;2900;83200;83137;Toulon;83;;;83137000DS0649;;;6;85.65;;;;;;;;;1;2;Appartement;85;4;;;;;;5.89958;43.135717
2025-414036;09/01/2025;1;Vente;137000;32;;RUE PAUL LENDRIN;5620;83000;83137;Toulon;83;;;83137000CK0164;;;2;54.05;;;;;;;;;1;2;Appartement;53;3;;;;;;5.934551;43.123253
2025-414041;08/01/2025;1;Vente;94000;1628;;AV JOSEPH GASQUET;4030;83100;83137;Toulon;83;;;83137000BD0366;;;36;43.8;;;;;;;;;1;2;Appartement;43;2;;;;;;5.970436;43.122706
2025-414042;07/01/2025;1;Vente;140000;267;;CHE DE L ORATOIRE;5470;83200;83137;Toulon;83;;;83137000DT0119;;;5;60.47;;;;;;;;;1;2;Appartement;69;2;;;;;;5.899353;43.143223
2025-414043;06/01/2025;1;Vente;107000;77;;RUE CAPITAINE JOSEPH CASANOVA;1196;83100;83137;Toulon;83;;;83137000CE0349;;;57;;64;57.55;;;;;;;2;2;Appartement;58;3;;;;;;5.954621;43.123351
2025-414046;02/01/2025;1;Vente;200000;10;;RUE DE LA FRATERNITE;3050;83000;83137;Toulon;83;;;83137000CM0119;;;5;93.91;;;;;;;;;1;2;Appartement;90;3;;;;;;5.933723;43.120078
2025-414048;06/01/2025;1;Vente;405000;4;;PAS MONTCALM;5270;83000;83137;Toulon;83;;;83137000BX0314;;;7;117.96;;;;;;;;;1;2;Appartement;125;4;;;;;;5.933609;43.11052
2025-414049;03/01/2025;1;Vente;240000;1267;;COR MARIUS ESCARTEFIGUE;4905;83200;83137;Toulon;83;;;83137000EY0049;;;8;60.71;;;;;;;;;1;2;Appartement;75;3;;;;;;5.945068;43.134724
2025-414051;14/01/2025;1;Vente;135500;129;;RUE MOREAU;5325;83200;83137;Toulon;83;;;83137000CX0436;;;12;62.34;2;;;;;;;;2;2;Appartement;65;4;;;;;;5.911379;43.129859
2025-414053;10/01/2025;1;Vente;642105;166;;CHE DU PETIT BOIS;5720;83000;83137;Toulon;83;;;83137000BO0305;;;;;;;;;;;;;0;1;Maison;96;4;S;sols;;;398;5.955265;43.112402
2025-414055;07/01/2025;1;Vente;142000;24;;RUE ANATOLE FRANCE;285;83000;83137;Toulon;83;;;83137000CN0059;;;32;52.91;38;;;;;;;;2;2;Appartement;55;2;;;;;;5.929514;43.122706
2025-414056;10/01/2025;1;Vente;128000;41;;ALL DU 8 MAI 1945;3692;83000;83137;Toulon;83;;;83137000BY0040;;;132;;201;54.89;;;;;;;2;2;Appartement;53;3;;;;;;5.937337;43.114377
2025-414073;17/01/2025;1;Vente;470450;1041;;CHE DU FORT ROUGE;2925;83200;83137;Toulon;83;;;83137000EW0225;;;;;;;;;;;;;0;1;Maison;36;3;S;sols;;;257;5.919121;43.141984
2025-414074;13/01/2025;1;Vente;155000;3;;AV LOUIS MICHEL VAN LOO;4657;83100;83137;Toulon;83;;;83137000AS0405;;;3;48.3;;;;;;;;;1;2;Appartement;35;2;;;;;;5.954587;43.12904
2025-414084;10/01/2025;1;Vente;369650;121;;CHE DE MONTZEY;5320;83000;83137;Toulon;83;;;83137000BO0528;;;1;77.43;36;;;;;;;;2;2;Appartement;75;3;;;;;;5.960304;43.112239
2025-414104;17/01/2025;1;Vente;120000;122;;AV BIR HAKEIM;901;83200;83137;Toulon;83;;;83137000CX0011;;;328;;338;62.13;;;;;;;2;2;Appartement;62;4;;;;;;5.911328;43.131483
2025-414106;10/01/2025;1;Vente;174500;19;;RUE ALEXANDRE VOLTA;140;83100;83137;Toulon;83;;;83137000AT0054;;;14;;2;60.25;;;;;;;2;2;Appartement;60;4;;;;;;5.963934;43.132241
2025-414119;10/01/2025;1;Vente;430900;404;;CHE ARTHUR;435;83200;83137;Toulon;83;;;83137000DP0210;;;;;;;;;;;;;0;1;Maison;91;4;S;sols;;;630;5.887818;43.129897
2025-414120;08/01/2025;1;Vente;207250;291;;BD DELESCLUZE;2135;83200;83137;Toulon;83;;;83137000DI0520;;;1;;28;70.84;;;;;;;2;2;Appartement;71;3;;;;;;5.902529;43.137123
2025-414121;09/01/2025;1;Vente;114187;33;;RUE LARMODIEU;4317;83000;83137;Toulon;83;;;83137000CN0716;;;3;44.22;;;;;;;;;1;2;Appartement;47;2;;;;;;5.93069;43.123117
2025-414125;10/01/2025;1;Vente;170000;26;;RUE GEORGES BERTON;3335;83000;83137;Toulon;83;;;83137000BV0515;;;17;49.89;;;;;;;;;1;2;Appartement;51;3;;;;;;5.938847;43.110065
2025-414132;06/01/2025;1;Vente;264665;183;;RUE CAMILLE FLAMMARION;1160;83100;83137;Toulon;83;;;83137000AT0033;;;;;;;;;;;;;0;1;Maison;78;3;S;sols;;;293;5.963479;43.130198
2025-414133;06/01/2025;1;Vente;285280;7;;RUE DES SAVONNIERES;6690;83000;83137;Toulon;83;;;83137000CN0082;;;14;78.92;;;;;;;;;1;2;Appartement;100;4;;;;;;5.930308;43.122387
2025-414135;06/01/2025;1;Vente;99000;82;;RUE ALEZARD;125;83000;83137;Toulon;83;;;83137000CL0330;;;5;38.2;;;;;;;;;1;2;Appartement;18;2;;;;;;5.934488;43.122587
2025-414135;06/01/2025;1;Vente;99000;82;;RUE ALEZARD;125;83000;83137;Toulon;83;;;83137000CL0330;;;5;38.2;;;;;;;;;1;2;Appartement;20;2;;;;;;5.934488;43.122587
2025-414138;13/01/2025;1;Vente;48000;890;;AV JOSEPH GASQUET;4030;83100;83137;Toulon;83;;;83137000AX0608;;;26;22.4;;;;;;;;;1;2;Appartement;22;1;;;;;;5.966796;43.125
2025-414152;06/01/2025;1;Vente;280000;91;;AV ANDRE AMPERE;290;83100;83137;Toulon;83;;;83137000AT0579;;;1;68.43;;;;;;;;;1;2;Appartement;70;3;;;;;;5.964697;43.129229
2025-414159;13/01/2025;1;Vente;115000;14;;BD DU 11 NOVEMBRE 1918;5455;83100;83137;Toulon;83;;;83137000CD0059;;;1;;53;57.03;;;;;;;2;2;Appartement;53;3;;;;;;5.946791;43.121586
2025-414160;07/01/2025;1;Vente;85000;199;;AV VERT COTEAU;7125;83000;83137;Toulon;83;;;83137000AR0505;;;146;43.61;26;;;;;;;;2;2;Appartement;44;2;;;;;;5.943632;43.125805
2025-414168;02/01/2025;1;Vente;181650;9006;;PRIMEROSES;A332;83200;83137;Toulon;83;;;83137000DI0324;;;604;;620;70.23;;;;;;;2;2;Appartement;68;4;;;;;;5.911094;43.138627
2025-414175;14/01/2025;1;Vente;230000;229;;BD AMIRAL DE GRASSE;220;83200;83137;Toulon;83;;;83137000AM0026;;;10;53.3;;;;;;;;;1;2;Appartement;27;1;;;;;;5.929942;43.137759
2025-414176;14/01/2025;1;Vente;115000;134;;AV DU 15E CORPS;6075;83200;83137;Toulon;83;;;83137000CY0479;;;24;73.3;5;;;;;;;;2;2;Appartement;74;3;;;;;;5.916229;43.128633
2025-414177;16/01/2025;1;Vente;186000;224;;AV EMILE VINCENT;2590;83000;83137;Toulon;83;;;83137000AN0373;;;214;;63;74.45;;;;;;;2;2;Appartement;75;4;;;;;;5.926691;43.131817
