"Cat_energie","prix_du_bien","prix_m2","type_de_bien","nb_pièce","nb_chambre","superficie","quartier","css-0 3"
"E","210 000 €","3 500 €/m²","Appartement à vendre","3 pièces","2 chambres","60 m²","Toulon (83200)",""
"","","","","","","","",""
"E","658 000 €","3 224 €/m²","Maison à vendre","8 pièces","6 chambres","204,1 m²","Toulon (83100)",""
"B","255 120 €","4 242 €/m²","Appartement à vendre","3 pièces","2 chambres","60,1 m²","Toulon (83100)",""
"A","220 000 €","5 238 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","42 m²","Cap Brun , Toulon (83000)",""
"B","210 000 €","3 231 €/m²","Appartement à vendre","3 pièces","2 chambres","65 m²","Pont-du-Las, Toulon (83200)",""
"A","615 000 €","9 179 €/m²","Appartement à vendre - Première occupation","3 pièces","2 chambres","67 m²","Cap Brun , Toulon (83000)",""
"C","230 000 €","2 706 €/m²","Appartement à vendre","4 pièces","2 chambres","85 m²","Les Routes, Toulon (83200)",""
"C","560 000 €","5 490 €/m²","Appartement à vendre","4 pièces","2 chambres","102 m²","Toulon (83000)",""
"C","180 000 €","1 220 €/m²","Appartement à vendre","6 pièces","4 chambres","147,6 m²","Toulon (83000)","Nouveau"
"","488 000 €","6 387 €/m²","Villa à vendre - neuf","4 pièces","3 chambres","76,4 m²","Les Ameniers, Toulon (83100)",""
"E","490 000 €","3 630 €/m²","Maison de plain-pied à vendre","6 pièces","3 chambres","135 m²","Toulon (83200)",""
"B","2 495 000 €","6 689 €/m²","Maison à vendre","10 pièces","5 chambres","373 m²","Toulon (83000)","Nouveau"
"D","258 000 €","3 794 €/m²","Appartement à vendre","3 pièces","2 chambres","68 m²","Les Ameniers, Toulon (83000)",""
"D","159 000 €","2 446 €/m²","Appartement à vendre","3 pièces","2 chambres","65 m²","La Rode, Toulon (83000)",""
"","","","","499 569 €","","","",""
"D","103 200 €","1 985 €/m²","Appartement à vendre","3 pièces","2 chambres","52 m²","Saint Jean du Var, Toulon (83000)",""
"","244 100 €","6 259 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","39 m²","Pont de Suve-Collet de Gipon, Toulon (83000)",""
"","239 308 €","6 136 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","39 m²","Pont de Suve-Collet de Gipon, Toulon (83000)",""
"","234 358 €","5 859 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","40 m²","Pont de Suve-Collet de Gipon, Toulon (83000)",""
"","223 877 €","6 219 €/m²","Appartement à vendre - neuf","2 pièces","1 chambre","36 m²","Pont de Suve-Collet de Gipon, Toulon (83000)",""
"","271 000 €","4 302 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","63 m²","Puget-Théâtre, Toulon (83000)",""
"","264 000 €","4 258 €/m²","Appartement à vendre - neuf","3 pièces","2 chambres","62 m²","Puget-Théâtre, Toulon (83200)",""
"","584 000 €","7 487 €/m²","Duplex à vendre - neuf","3 pièces","2 chambres","78 m²","Puget-Théâtre, Toulon (83000)",""
"C","210 000 €","2 877 €/m²","Appartement à vendre","3 pièces","2 chambres","73 m²","Super-Toulon, Toulon (83000)",""
